Title,Date,Activity Type,Tag,Rank,Steps,Distance [km],Time [hh:mm'ss"],Pace [mm'ss"/km],Speed [km/h],Cadence [step/min],Stride [cm],Clories [kcal],Avg. HR [num/min],Max. HR [num/min]	,Min. HR [num/min],Weather,Temperature [℃],Notes,TrainingEffect,Ascent [m],Descent [m]
"workout 59",2018/08/19,Run,training,,9860,10.303,0:59'9",5'44",,166,104,644,138,,,,,,3.1,107,122
"workout 60",2018/08/20,Run,training,,4503,5.442,0:26'14",4'49",,171,119,323,152,,,,,,3.3,47,52
"workout 61",2018/08/25,Run,training,,9423,10.224,0:57'2",5'34",,165,107,724,155,,,,,,4.5,124,119
"workout 62",2018/08/26,Run,training,,5659,6.182,0:32'46",5'18",,172,108,389,147,,,,,,3.4,74,76
"workout 63",2018/09/01,Run,training,,10311,11.141,1:2'29",5'36",,166,105,739,147,,,,,,4.0,170,165
"workout 64",2018/09/02,Run,training,,9390,10.265,0:55'2",5'21",,170,108,652,147,,,,,,4.1,113,111
"workout 65",2018/09/04,Run,training,,5429,6.25,0:31'54",5'6",,169,112,408,156,,,,,,3.8,63,74
"workout 66",2018/09/08,Run,training,,14830,15.611,1:30'7",5'46",,165,104,1151,155,,,,,,5.0,185,189
"workout 67",2018/09/12,Run,training,,5325,6.046,0:30'55",5'6",,172,111,368,148,,,,,,3.4,39,49
"workout 68",2018/09/15,Run,training,,5050,6.02,0:29'10",4'50",,172,115,379,159,,,,,,4.0,60,59
"workout 69",2018/09/16,Run,training,,10367,11.039,1:2'50",5'41",,166,104,696,141,,,,,,3.7,103,140
"workout 70",2018/09/17,Run,training,,5672,6.032,0:33'38",5'34",,168,105,372,140,,,,,,3.2,70,76
"workout 71",2018/09/22,Run,training,,5330,6.073,0:31'39",5'12",,169,111,400,153,,,,,,3.8,56,64
"workout 72",2018/09/23,Run,training,,10540,11.114,1:2'27",5'37",,168,105,707,141,,,,,,3.4,129,125
"workout 73",2018/09/24,Run,training,,10798,11.244,1:4'43",5'45",,166,103,705,141,,,,,,3.5,122,125
"workout 74",2018/09/28,Run,training,,5309,6.299,0:31'4",4'55",,170,115,373,148,,,,,,3.5,57,64
"workout 75",2018/10/03,Run,training,,5349,6.338,0:31'38",4'59",,168,114,390,153,,,,,,3.8,69,68
"workout 76",2018/10/07,Run,training,,10467,11.141,1:2'16",5'35",,168,106,695,143,,,,,,3.9,100,112
"workout 77",2018/10/08,Run,training,,14769,15.545,1:28'54",5'43",,166,104,971,141,,,,,,3.7,163,172
"workout 78",2018/10/11,Run,training,,4531,5.462,0:26'46",4'54",,169,115,337,156,,,,,,3.7,53,54
"workout 79",2018/10/14,Run,training,,10056,11.046,1:1'4",5'31",,164,108,698,146,,,,,,4.0,100,122
"workout 81",2018/10/18,Run,training,,5692,6.177,0:34'41",5'36",,166,106,396,146,,,,,,3.5,71,70
"workout 80",2018/10/20,Run,training,,5708,6.198,0:34'10",5'30",,167,107,410,153,,,,,,3.8,83,81
"workout 82",2018/10/21,Run,Half Marathon,,21001,21.022,2:9'16",6'8",,162,100,1646,159,,,"Sunny","","足がつった",5.0,321,328
"workout 83",2018/10/25,Run,training,,4724,5.368,0:28'1",5'13",,168,110,328,154,,,,,,3.5,47,48
"workout 84",2018/10/27,Run,training,,10048,11.067,1:1'11",5'31",,166,108,697,151,,,,,,4.5,89,97
"workout 85",2018/10/28,Run,training,,9733,10.243,0:57'56",5'39",,168,104,619,144,,,,,,3.7,95,105
"workout 86",2018/10/30,Run,training,,4610,5.443,0:27'11",4'59",,169,113,320,155,,,,,,3.5,57,55
"workout 87",2018/11/02,Run,training,,5326,6.123,0:31'24",5'7",,169,113,359,152,,,,,,3.5,68,65
"workout 88",2018/11/03,Run,Other,,5452,6.249,0:31'46",5'5",,171,113,355,149,,,,"","",3.4,84,98
"workout 89",2018/11/04,Run,training,,14232,15.579,1:26'24",5'32",,167,107,935,146,,,,,,4.0,142,150
"workout 90",2018/11/07,Run,training,,5347,6.039,0:31'28",5'12",,169,111,357,151,,,,,,3.5,61,81
"workout 91",2018/11/10,Run,training,,9648,11.078,0:57'1",5'8",,170,112,651,152,,,,,,4.2,116,116
"workout 92",2018/11/11,Run,training,,9798,11.076,0:58'14",5'15",,170,110,628,146,,,,,,3.9,97,118
"workout 93",2018/11/14,Run,training,,5298,6.307,0:30'55",4'54",,171,115,368,157,,,,,,3.8,52,69
"workout 94",2018/11/18,Run,training,,10421,11.071,1:1'59",5'35",,168,105,678,147,,,,,,3.8,125,131
"workout 95",2018/11/23,Run,training,,10347,11.069,1:1'33",5'33",,168,106,632,141,,,,,,3.5,129,134
"workout 96",2018/11/24,Run,training,,10138,11.027,1:0'1",5'26",,168,107,703,154,,,,,,4.4,89,91
"workout 97",2018/11/25,Run,training,,10412,11.142,1:1'39",5'32",,168,106,689,149,,,,,,4.0,115,111
"workout 98",2018/12/02,Run,Half Marathon,,20534,21.258,2:2'51",5'46",,167,102,1466,157,,,,"","",5.0,223,222
"workout 99",2018/12/06,Run,training,,4693,5.416,0:27'55",5'9",,169,110,333,156,,,,,,3.7,44,48
"workout 100",2018/12/16,Run,training,,8467,10.144,0:49'25",4'52",,172,118,626,169,,,,,,5.0,120,117
"workout 101",2018/12/19,Run,training,,5469,6.206,0:32'26",5'13",,170,110,364,156,,,,,,3.9,51,58
"workout 102",2018/12/20,Run,training,,5760,6.299,0:35'51",5'41",,163,107,393,153,,,,,,3.8,67,62
"workout 103",2018/12/23,Run,training,,10476,11.088,1:3'14",5'42",,167,103,676,148,,,,,,4.4,132,155
"workout 104",2018/12/24,Run,training,,10828,11.205,1:6'24",5'55",,165,100,701,148,,,,,,4.3,124,149
"workout 106",2018/12/27,Run,training,,5910,6.201,0:35'24",5'42",,168,103,373,149,,,,,,3.6,63,91
"workout 105",2018/12/28,Run,training,,5451,5.392,0:33'34",6'13",,165,98,389,165,,,,,,4.2,62,85
"workout 107",2018/12/29,Run,training,,9787,10.22,1:0'32",5'55",,164,100,705,160,,,,,,4.7,107,108
"workout 108",2018/12/30,Run,training,,10410,10.247,1:3'40",6'12",,165,96,686,152,,,,,,4.3,124,116
"workout 109",2019/01/03,Run,training,,10117,11.27,1:1'46",5'28",,169,105,646,149,,,,,,4.2,126,117
"workout 110",2019/01/04,Run,training,,10033,11.266,0:59'48",5'18",,171,108,628,149,,,,,,4.0,105,89
"workout 111",2019/01/05,Run,training,,10357,11.222,1:2'31",5'34",,168,104,638,146,,,,,,3.8,103,105
"workout 112",2019/01/06,Run,training,,10302,11.158,1:1'34",5'31",,168,104,627,146,,,,,,3.6,93,94
"workout 113",2019/01/11,Run,training,,4706,5.4,0:27'48",5'8",,170,110,312,155,,,,,,3.5,56,54
"workout 114",2019/01/12,Run,training,,14132,15.768,1:24'38",5'22",,169,108,953,156,,,,,,5.0,171,154
"workout 115",2019/01/13,Run,training,,10092,11.154,0:59'44",5'21",,171,108,629,149,,,,,,3.8,120,132
"workout 116",2019/01/14,Run,training,,9568,11.19,0:56'46",5'4",,171,112,617,153,,,,,,4.1,93,102
"workout 117",2019/01/18,Run,training,,4547,5.407,0:27'19",5'3",,171,113,296,152,,,,,,3.4,60,47
"workout 118",2019/01/19,Run,training,,9509,11.217,0:56'11",5'0",,171,114,620,154,,,,,,4.2,108,104
"workout 119",2019/01/20,Run,training,,10101,11.198,0:59'54",5'20",,170,108,629,147,,,,,,3.8,125,113
"workout 120",2019/01/24,Run,training,,4634,5.393,0:27'26",5'5",,171,112,289,149,,,,,,3.3,43,48
"workout 121",2019/01/26,Run,training,,9574,11.176,0:56'39",5'4",,169,113,603,150,,,,,,3.9,102,100
"workout 122",2019/01/27,Run,training,,10004,11.18,0:59'27",5'19",,170,109,615,148,,,,,,3.7,101,106
"workout 123",2019/02/02,Run,training,,10771,12.063,1:3'29",5'15",,169,110,708,155,,,,,,4.6,114,132
