Title,Date,Activity Type,Tag,Rank,Steps,Distance [km],Time [hh:mm'ss"],Pace [mm'ss"/km],Speed [km/h],Cadence [step/min],Stride [cm],Clories [kcal],Avg. HR [num/min],Max. HR [num/min]	,Min. HR [num/min],Weather,Temperature [℃],Notes,TrainingEffect,Ascent [m],Descent [m]
"workout 457",2021/01/01,Run,training,,7490,8.117,0:42'57",5'17",,174,106,476,143,,,,,,3.4,84,79
"workout 458",2021/01/02,Run,training,,9624,10.017,0:55'34",5'32",,173,104,632,145,,,,,,3.8,,
"workout 459",2021/01/03,Run,training,,11371,13.054,1:5'26",5'0",,173,112,740,145,,,,,,3.7,187,206
"workout 460",2021/01/04,Run,training,,9708,10.685,0:56'42",5'18",,171,108,629,141,,,,,,3.4,122,95
"workout 461",2021/01/07,Run,training,,7616,8.209,0:45'3",5'29",,168,106,471,135,,,,,,2.9,66,71
"workout 462",2021/01/08,Run,training,,7260,8.178,0:41'59",5'8",,172,110,473,142,,,,,,3.3,88,85
"workout 463",2021/01/09,Run,training,,4913,5.772,0:28'5",4'51",,174,114,360,158,,,,"","",3.6,171,173
"workout 464",2021/01/10,Run,Half Marathon,,17683,20.817,1:41'41",4'53",,173,116,1288,159,,,,"","",5.0,161,175
"workout 465",2021/01/11,Run,training,,7948,8.238,0:46'57",5'41",,169,105,464,133,,,,,,2.8,92,92
"workout 466",2021/01/14,Run,training,,7090,8.161,0:40'53",5'0",,173,111,461,146,,,,,,3.5,85,96
"workout 467",2021/01/15,Run,training,,7207,8.216,0:41'23",5'2",,174,112,453,143,,,,,,3.4,73,71
"workout 468",2021/01/16,Run,training,,11423,13.117,1:6'13",5'2",,172,113,744,144,,,,,,3.9,154,176
"workout 469",2021/01/17,Run,training,,11506,13.171,1:6'30",5'2",,172,112,729,140,,,,,,3.5,163,162
"workout 470",2021/01/18,Run,training,,5078,5.781,0:29'23",5'4",,172,111,316,139,,,,,,3.0,53,116
"workout 471",2021/01/19,Run,training,,5460,5.745,0:31'50",5'32",,171,105,327,134,,,,,,2.7,88,51
"workout 472",2021/01/20,Run,training,,5086,5.728,0:29'21",5'7",,173,109,322,141,,,,,,3.1,52,57
"workout 473",2021/01/21,Run,training,,7111,8.225,0:40'55",4'58",,173,114,456,142,,,,,,3.4,77,77
"workout 474",2021/01/25,Run,training,,5145,5.778,0:30'40",5'18",,167,108,339,142,,,,,,3.1,43,55
"workout 475",2021/01/27,Run,training,,7151,8.145,0:41'44",5'7",,171,111,480,145,,,,,,3.6,120,81
"workout 476",2021/01/28,Run,training,,7018,8.134,0:40'31",4'58",,173,113,498,152,,,,,,3.8,130,132
"workout 477",2021/01/29,Run,training,,6989,8.167,0:40'40",4'58",,171,113,493,150,,,,,,3.7,117,112
"workout 478",2021/01/30,Run,training,,11698,13.095,1:8'35",5'14",,170,110,763,141,,,,,,3.6,131,144
"workout 479",2021/01/31,Run,training,,28497,30.415,2:52'46",5'40",,164,104,1969,144,,,,,,4.2,280,296
"workout 480",2021/02/01,Run,training,,7410,8.131,0:43'14",5'19",,171,108,470,138,,,,,,3.1,89,101
"workout 481",2021/02/03,Run,training,,11453,13.098,1:7'23",5'8",,169,111,779,145,,,,,,3.7,110,110
"workout 482",2021/02/04,Run,training,,7472,8.315,0:43'42",5'15",,170,108,475,139,,,,,,3.2,116,88
"workout 483",2021/02/05,Run,training,,7163,8.136,0:41'45",5'7",,171,110,466,141,,,,,,3.3,139,101
"workout 484",2021/02/07,Run,training,,5742,6.032,0:34'36",5'44",,165,103,333,127,,,,,,2.3,123,128
"workout 485",2021/02/08,Run,training,,7406,8.144,0:43'20",5'19",,170,108,469,138,,,,,,3.2,104,91
"workout 486",2021/02/09,Run,training,,7327,8.17,0:43'17",5'17",,169,109,478,140,,,,,,3.3,106,177
"workout 487",2021/02/11,Run,training,,13667,15.636,1:20'50",5'10",,169,112,932,145,,,,"","",3.8,181,198
"workout 488",2021/02/12,Run,training,,7229,8.225,0:42'26",5'9",,170,111,474,141,,,,,,3.3,106,96
"workout 489",2021/02/13,Run,training,,11475,13.204,1:7'13",5'5",,170,113,780,145,,,,,,4.0,113,111
"workout 490",2021/02/16,Run,training,,6998,8.226,0:40'51",4'57",,171,115,480,147,,,,,,3.6,106,121
"workout 491",2021/02/17,Run,training,,7182,8.184,0:41'52",5'6",,171,111,463,140,,,,,,3.3,90,98
"workout 492",2021/02/20,Run,training,,11530,13.17,1:7'58",5'9",,169,112,797,146,,,,,,3.9,137,143
"workout 493",2021/02/21,Run,training,,11763,13.171,1:9'0",5'14",,170,110,757,139,,,,,,3.3,155,260
"workout 494",2021/02/23,Run,training,,11393,13.147,1:6'40",5'4",,170,112,781,146,,,,,,4.0,148,140
"workout 495",2021/02/25,Run,training,,7079,8.211,0:41'27",5'2",,170,113,466,142,,,,,,3.3,129,136
"workout 496",2021/02/27,Run,training,,11449,13.139,1:7'20",5'7",,170,112,782,145,,,,,,3.9,105,122
"workout 497",2021/02/28,Run,training,,21238,22.934,2:5'56",5'29",,168,106,1344,137,,,,,,3.1,266,240
"workout 498",2021/03/02,Run,training,,1119,1.278,0:6'26",5'2",,173,110,75,146,,,,,,2.1,8,57
"workout 499",2021/03/04,Run,training,,7022,8.234,0:40'54",4'58",,171,115,465,143,,,,,,3.5,90,167
"workout 500",2021/03/06,Run,training,,11705,13.133,1:9'1",5'15",,169,110,798,145,,,,,,3.8,138,149
"workout 501",2021/03/07,Run,training,,11069,13.226,1:3'57",4'50",,173,116,765,149,,,,,,4.3,306,102
"workout 502",2021/03/09,Run,training,,6969,8.235,0:40'13",4'53",,173,116,466,145,,,,,,3.6,142,97
"workout 503",2021/03/12,Run,training,,6810,8.2,0:39'41",4'50",,171,117,476,149,,,,,,3.8,136,94
"workout 504",2021/03/14,Run,training,,13639,15.571,1:19'19",5'5",,171,112,926,146,,,,,,4.2,159,237
"workout 505",2021/03/16,Run,training,,6689,8.172,0:39'30",4'50",,169,119,488,152,,,,,,3.9,57,65
"workout 506",2021/03/19,Run,training,,7123,8.242,0:41'37",5'2",,171,114,474,143,,,,,,3.5,87,99
"workout 507",2021/03/20,Run,training,,13367,15.663,1:18'22",5'0",,170,114,950,150,,,,,,4.6,170,199
"workout 508",2021/03/23,Run,training,,6893,8.173,0:40'2",4'53",,172,116,472,147,,,,,,3.6,81,97
"workout 509",2021/03/24,Run,training,,7053,8.185,0:41'46",5'6",,168,114,472,142,,,,,,3.5,96,115
"workout 510",2021/03/26,Run,training,,5148,5.801,0:30'25",5'14",,169,110,321,136,,,,,,2.9,71,58
"workout 511",2021/03/27,Run,training,,26731,30.089,2:38'57",5'16",,168,113,2032,156,,,,,,5.0,192,201
"workout 512",2021/03/31,Run,training,,7108,8.216,0:43'1",5'14",,165,111,469,139,,,,,,3.2,92,84
"workout 513",2021/04/02,Run,training,,7209,8.268,0:42'34",5'8",,169,111,468,140,,,,,,3.4,101,128
"workout 514",2021/04/03,Run,training,,11644,13.233,1:9'29",5'15",,167,112,759,139,,,,,,3.5,141,157
"workout 515",2021/04/04,Run,training,,5380,5.75,0:32'14",5'36",,166,107,313,128,,,,,,2.3,74,121
"workout 516",2021/04/07,Run,training,,7168,8.219,0:42'8",5'7",,169,112,449,137,,,,,,3.2,87,128
"workout 517",2021/04/08,Run,training,,7133,8.201,0:41'50",5'6",,170,112,455,139,,,,,,3.3,258,269
"workout 518",2021/04/10,Run,training,,10842,13.097,1:3'15",4'49",,171,117,795,154,,,,,,4.9,141,144
"workout 519",2021/04/11,Run,training,,4765,5.814,0:27'47",4'46",,171,119,332,149,,,,,,3.3,172,61
"workout 520",2021/04/15,Run,training,,6800,8.192,0:39'37",4'50",,171,118,461,146,,,,,,3.6,69,160
"workout 521",2021/04/16,Run,training,,7104,8.273,0:42'1",5'4",,168,113,497,148,,,,,,3.7,76,106
"workout 522",2021/04/18,Run,training,,7615,8.251,0:45'59",5'34",,165,107,458,130,,,,,,2.8,101,96
"workout 523",2021/04/21,Run,training,,6834,8.157,0:40'17",4'56",,169,116,473,147,,,,,,3.6,77,95
"workout 524",2021/04/23,Run,training,,6897,8.215,0:41'5",5'0",,167,115,480,146,,,,,,3.6,58,75
"workout 525",2021/04/24,Run,training,,13525,15.579,1:19'43",5'7",,169,113,894,142,,,,,,3.8,178,180
"workout 526",2021/04/25,Run,training,,13677,15.647,1:21'36",5'12",,167,112,898,140,,,,,,3.7,168,149
"workout 527",2021/04/27,Run,training,,6710,8.176,0:39'11",4'47",,171,119,461,147,,,,,,3.6,79,114
"workout 528",2021/04/29,Run,training,,10059,10.6,1:1'39",5'48",,163,107,647,135,,,,,,2.9,127,132
"workout 529",2021/05/01,Run,training,,6950,8.16,0:40'33",4'58",,171,114,458,143,,,,,,3.5,104,117
"workout 530",2021/05/02,Run,training,,7202,8.243,0:41'53",5'4",,171,111,446,137,,,,,,3.2,114,113
"workout 531",2021/05/03,Run,training,,11199,13.015,1:5'25",5'1",,171,114,743,143,,,,,,3.9,173,168
"workout 532",2021/05/04,Run,training,,11955,13.405,1:10'17",5'14",,170,111,781,141,,,,,,3.6,124,116
"workout 533",2021/05/06,Run,training,,7106,8.185,0:41'40",5'5",,170,113,470,142,,,,,,3.4,81,97
"workout 534",2021/05/07,Run,training,,7424,8.139,0:44'23",5'27",,167,108,470,136,,,,,,3.1,118,101
"workout 535",2021/05/08,Run,training,,11475,13.046,1:7'36",5'10",,169,112,760,142,,,,,,3.7,131,118
"workout 536",2021/05/09,Run,training,,11747,13.08,1:9'9",5'17",,169,110,741,137,,,,,,3.2,184,157
"workout 537",2021/05/10,Run,training,,6981,8.204,0:40'15",4'54",,173,115,453,142,,,,,,3.4,92,89
"workout 538",2021/05/11,Run,training,,7076,8.244,0:41'21",5'0",,171,113,452,139,,,,,,3.2,91,93
"workout 539",2021/05/13,Run,training,,7055,8.272,0:43'45",5'17",,161,110,475,139,,,,,,3.3,114,108
"workout 540",2021/05/15,Run,training,,11608,13.102,1:8'24",5'13",,169,111,780,143,,,,,,3.9,117,147
"workout 541",2021/05/16,Run,training,,5985,6.058,0:36'0",5'56",,166,101,349,128,,,,,,2.3,80,75
"workout 542",2021/05/18,Run,training,,7414,8.181,0:44'17",5'24",,167,106,479,138,,,,,,3.2,105,118
"workout 543",2021/05/19,Run,training,,7327,8.185,0:43'25",5'18",,168,110,470,138,,,,,,3.2,94,93
"workout 544",2021/05/20,Run,training,,7480,8.211,0:44'12",5'22",,169,108,465,135,,,,,,3.0,73,98
"workout 545",2021/05/22,Run,training,,11720,13.139,1:9'36",5'17",,168,110,780,142,,,,,,3.5,176,208
"workout 546",2021/05/23,Run,training,,11550,13.133,1:7'47",5'9",,170,111,766,142,,,,,,3.6,163,154
"workout 547",2021/05/23,Walk,training,,6486,4.982,1:1'5",12'15",,106,67,351,93,,,,,,0.3,148,150
"workout 548",2021/05/24,Run,training,,7327,8.235,0:43'0",5'13",,170,109,463,142,,,,,,3.3,111,118
"workout 549",2021/05/25,Run,training,,7422,8.229,0:43'53",5'19",,169,109,447,136,,,,,,3.1,103,110
"workout 550",2021/05/26,Run,training,,7171,8.301,0:42'27",5'6",,168,111,461,143,,,,,,3.4,133,119
"workout 551",2021/05/28,Run,training,,6982,8.2,0:40'46",4'58",,171,115,449,144,,,,,,3.4,119,125
"workout 552",2021/05/29,Run,training,,12024,13.192,1:11'16",5'24",,168,108,760,141,,,,,,3.5,128,122
"workout 553",2021/05/30,Run,training,,21338,23.096,2:7'9",5'30",,167,106,1296,136,,,,,,3.1,200,217
"workout 554",2021/05/31,Run,training,,7353,8.237,0:42'57",5'12",,171,110,455,140,,,,,,3.3,149,116
"workout 555",2021/06/02,Run,training,,7232,8.155,0:42'50",5'15",,168,110,438,137,,,,,,3.1,112,143
"workout 556",2021/06/03,Run,training,,7446,8.272,0:44'20",5'21",,167,108,447,135,,,,,,3.1,96,96
"workout 557",2021/06/05,Run,training,,12306,13.072,1:13'15",5'36",,167,106,746,136,,,,,,3.1,271,248
"workout 558",2021/06/06,Run,training,,11847,13.214,1:10'19",5'19",,168,109,708,135,,,,,,3.2,139,162
"workout 559",2021/06/10,Run,training,,7262,8.223,0:43'9",5'14",,168,111,442,137,,,,,,3.2,80,91
"workout 560",2021/06/11,Run,training,,7321,8.219,0:43'52",5'20",,166,108,459,139,,,,,,3.3,77,78
"workout 561",2021/06/12,Run,training,,11393,13.09,1:7'25",5'9",,168,112,735,143,,,,,,3.9,131,161
"workout 562",2021/06/13,Run,training,,11895,13.272,1:10'53",5'20",,167,109,730,137,,,,,,3.1,141,1124
"workout 563",2021/06/13,Walk,training,,11602,9.182,1:52'14",12'13",,103,68,666,99,,,,,,0.9,296,269
"workout 564",2021/06/15,Run,training,,7473,8.23,0:45'21",5'30",,164,107,442,135,,,,,,3.0,87,99
"workout 565",2021/06/18,Run,training,,7260,8.267,0:43'6",5'12",,168,110,429,137,,,,,,3.1,112,79
"workout 566",2021/06/20,Run,training,,11440,13.225,1:7'19",5'5",,169,113,735,146,,,,,,4.1,150,126
"workout 567",2021/06/26,Run,training,,11442,12.369,1:9'19",5'36",,164,109,706,139,,,,,,3.6,124,140
"workout 568",2021/06/26,Walk,training,,4825,3.426,0:49'5",14'19",,98,51,206,88,,,,,,0.2,127,176
"workout 569",2021/06/27,Run,training,,21232,23.02,2:8'45",5'35",,164,106,1287,140,,,,,,3.5,243,222
"workout 570",2021/06/30,Run,training,,7333,8.265,0:43'33",5'16",,168,109,422,137,,,,,,3.3,114,124
"workout 571",2021/07/03,Run,training,,12330,13.047,1:15'4",5'45",,164,104,800,146,,,,,,4.3,200,184
"workout 572",2021/07/04,Run,training,,12254,13.199,1:14'35",5'39",,164,104,747,140,,,,,,3.5,125,161
"workout 573",2021/07/07,Run,training,,7633,8.175,0:45'46",5'35",,166,105,452,135,,,,,,3.1,110,102
"workout 574",2021/07/09,Run,training,,7467,8.208,0:44'57",5'28",,166,107,492,145,,,,,,3.8,96,88
"workout 575",2021/07/10,Run,training,,9917,10.69,1:0'55",5'41",,162,104,654,144,,,,,,3.9,108,114
"workout 576",2021/07/11,Run,training,,5141,5.761,0:30'28",5'17",,168,110,307,137,,,,,,3.2,113,120
"workout 577",2021/07/14,Run,training,,7465,8.203,0:44'49",5'27",,166,107,453,137,,,,,,3.3,89,94
"workout 578",2021/07/17,Run,training,,12149,13.136,1:15'26",5'44",,160,104,819,145,,,,,,4.0,169,190
"workout 579",2021/07/18,Run,training,,12013,13.258,1:13'6",5'30",,164,106,759,141,,,,,,3.7,193,126
"workout 580",2021/07/24,Run,training,,12227,13.129,1:15'26",5'44",,162,103,809,144,,,,,,4.3,174,196
"workout 581",2021/07/25,Run,training,,12032,13.084,1:13'22",5'36",,163,105,782,143,,,,,,4.0,196,191
"workout 582",2021/07/30,Run,training,,7607,8.227,0:45'55",5'34",,165,106,476,140,,,,,,3.5,167,143
"workout 583",2021/08/01,Run,training,,5201,5.793,0:32'13",5'33",,161,105,322,138,,,,,,3.2,85,80
"workout 584",2021/08/03,Run,training,,5145,5.714,0:31'21",5'29",,163,106,341,145,,,,,,3.4,88,81
"workout 585",2021/08/04,Run,training,,5285,5.739,0:31'42",5'31",,166,105,331,141,,,,,,3.3,88,66
"workout 586",2021/08/07,Run,training,,7544,8.208,0:45'55",5'35",,164,105,525,150,,,,,,4.3,76,83
"workout 587",2021/08/08,Run,training,,9797,10.728,0:59'56",5'35",,163,105,636,143,,,,,,3.9,111,125
"workout 588",2021/08/09,Run,training,,10128,10.698,1:3'17",5'54",,160,101,652,140,,,,,,3.7,143,153
"workout 589",2021/08/16,Run,training,,12053,13.134,1:14'46",5'41",,161,103,762,139,,,,,,3.7,177,184
"workout 590",2021/08/18,Walk,training,,3147,2.476,0:31'5",12'33",,101,75,152,89,,,,"","",0.5,78,71
"workout 591",2021/08/19,Walk,training,,3248,2.42,0:29'16",12'5",,110,71,130,85,,,,"","",0.2,91,98
"workout 592",2021/08/20,Run,training,,7016,8.23,0:41'51",5'5",,167,113,466,147,,,,,,3.9,193,69
"workout 593",2021/08/21,Run,training,,9626,10.723,0:58'24",5'26",,164,107,630,144,,,,,,4.1,92,119
"workout 594",2021/08/22,Run,training,,10067,11.017,1:0'39",5'30",,165,108,628,140,,,,,,3.8,111,113
"workout 595",2021/08/24,Run,training,,7176,8.18,0:43'23",5'18",,165,111,477,146,,,,,,3.9,66,94
"workout 596",2021/08/25,Run,training,,7501,8.233,0:45'1",5'28",,166,108,468,140,,,,,,3.6,90,118
"workout 597",2021/08/27,Run,training,,7403,8.226,0:44'34",5'25",,165,110,513,151,,,,,,4.2,124,86
"workout 598",2021/08/28,Run,training,,12542,13.175,1:18'7",5'55",,160,101,843,145,,,,,,4.1,160,145
"workout 599",2021/08/29,Run,training,,12146,13.17,1:14'15",5'38",,163,105,799,144,,,,,,4.0,157,140
"workout 600",2021/08/30,Run,training,,7842,8.218,0:47'43",5'48",,164,103,483,138,,,,,,3.3,102,111
"workout 601",2021/08/31,Run,training,,7439,8.221,0:45'24",5'31",,163,106,480,142,,,,,,3.4,106,95
"workout 602",2021/09/01,Run,training,,4806,5.848,0:28'34",4'53",,168,116,313,145,,,,,,3.3,89,66
"workout 603",2021/09/02,Walk,training,,3097,2.35,0:28'54",12'18",,107,72,133,88,,,,,,0.2,75,95
"workout 604",2021/09/03,Run,training,,7379,8.278,0:44'13",5'20",,166,110,444,138,,,,,,3.3,89,99
"workout 605",2021/09/05,Run,training,,5296,5.733,0:31'46",5'32",,166,107,292,130,,,,,,2.7,67,113
"workout 606",2021/09/06,Run,training,,7398,8.211,0:44'3",5'21",,167,109,446,139,,,,,,3.3,67,112
"workout 607",2021/09/07,Run,training,,7288,8.191,0:43'17",5'17",,168,110,450,141,,,,,,3.5,67,93
"workout 608",2021/09/08,Walk,training,,2067,1.58,0:18'23",11'38",,112,70,103,97,,,,,,0.6,38,43
"workout 609",2021/09/09,Walk,training,,1769,1.339,0:15'23",11'29",,114,73,80,93,,,,,,0.2,49,51
"workout 610",2021/09/10,Run,training,,7224,8.289,0:42'52",5'10",,168,112,440,142,,,,,,3.5,96,86
"workout 611",2021/09/11,Run,training,,5396,5.745,0:34'6",5'56",,158,102,311,132,,,,,,2.7,54,61
"workout 612",2021/09/12,Run,training,,14082,15.619,1:24'11",5'23",,167,108,855,141,,,,,,3.8,157,167
"workout 613",2021/09/19,Run,training,,11817,13.118,1:11'48",5'28",,164,109,704,138,,,,,,3.4,122,140
"workout 614",2021/09/20,Run,training,,10230,10.682,1:2'1",5'48",,164,104,563,131,,,,,,2.9,102,94
"workout 615",2021/09/21,Run,training,,7075,8.221,0:42'5",5'7",,167,112,442,144,,,,,,3.6,117,82
"workout 616",2021/09/22,Walk,training,,1330,1.078,0:11'30",10'40",,115,78,61,96,,,,"","",0.2,36,32
"workout 617",2021/09/23,Run,training,,11828,13.553,1:10'34",5'12",,167,112,717,141,,,,,,3.8,138,148
"workout 618",2021/09/24,Run,training,,7087,8.288,0:41'46",5'2",,169,115,443,145,,,,,,3.8,85,73
"workout 619",2021/09/25,Run,training,,12521,13.551,1:16'34",5'39",,163,106,758,139,,,,,,3.6,148,138
"workout 620",2021/09/26,Run,training,,12488,13.786,1:16'33",5'33",,163,106,751,138,,,,,,3.4,134,139
